Austin Pittman,37
Billy Garner,25
Marguerite Hammond,44
Margaret Diaz,54
Hettie Logan,23
Leo Johnston,54
Emilie Saunders,42
Jesus Jacobs,38
Chester Mack,46
Barry Black,55
Dora Willis,37
Vera McKenzie,42
Jon Reeves,44
Eddie Marshall,24
Stanley Klein,26
Herman Mason,21
Adrian Bass,36
Adeline Ruiz,46
Tyler Reyes,27
Bernice Underwood,19
Kevin Guerrero,43
Nelle Ray,20
Caleb Rice,54
Bernice Garcia,31
Isaac George,57
Carolyn Taylor,56
Kenneth Doyle,50
Isaac Logan,25
Louise Walsh,63
Robert Norman,53
Lloyd Casey,28
Timothy Tucker,62
Earl Sparks,22
Maude Flowers,48
Landon Thompson,31
Marguerite Hawkins,42
Robert Hicks,30
Bessie Sutton,54
Nancy Gutierrez,29
Lucille McKenzie,30
Clyde Conner,37
Christopher Davidson,29
Harvey Cruz,35
Minnie Martin,18
Helen Walters,43
Olive McKenzie,64
Brandon Meyer,29
Anthony Gregory,22
Danny Graham,30
Elmer Owens,57
Lillie Barker,35
Alex Gross,25
Edward Webb,45
Ernest Gibson,19
Larry Lane,51
Alvin Peters,58
Erik Brady,25
Andrew Ortiz,53
James King,22
Dora Morales,36
Edith Wells,50
Susan Coleman,46
Ollie Chavez,49
Trevor Howard,48
Cora Roberts,28
Mayme Wise,65
Amelia Ortiz,19
Daniel Hardy,64
Verna Mills,21
Don Strickland,24
Verna Banks,43
Lida Keller,22
Rhoda Saunders,65
Lola Dixon,61
Aiden Erickson,19
Jay Peterson,32
Bess Evans,32
Virgie Doyle,44
Sophia Ramirez,58
Herbert Hampton,37
Bryan Townsend,39
Essie Brooks,51
Edgar Wright,35
Hunter Mack,37
Violet Nguyen,56
Katharine Carpenter,21
Pearl Larson,59
Flora Reid,31
Christine Figueroa,23
Ralph Valdez,50
Clifford Gordon,42
Josephine Walsh,19
Jeremiah Carter,51
Inez Burton,45
Howard Armstrong,26
Mason Day,65
Sophia Bridges,50
Betty Anderson,55
Gertrude McKinney,58
Lucy Coleman,35
Inez Doyle,62
Esther Rios,60
Francis Walsh,39
Logan Graves,50
Minnie Moody,20
Manuel Bailey,32
Katherine Graham,45
Mike Boone,45
Effie Stone,20
Maurice Williamson,47
Norman Riley,54
Abbie Greene,62
Vera Higgins,42
Eric Gray,46
Chase Little,38
Vernon Steele,38
Margaret Spencer,51
Louis Foster,52
Marion Maldonado,65
Cody Walton,60
Ryan Howell,29
Frank Nichols,47
Fred Stephens,33
Duane Phelps,59
Julia Lawson,40
Ernest Bridges,58
Jacob Pena,59
Claudia Hopkins,28
Brett McCormick,22
Logan Marshall,36
Louis Houston,28
Myrtie Swanson,43
Esther Santiago,63
Lula Mitchell,59
Lettie Davis,24
Matthew Jenkins,46
Nathaniel Thompson,33
Chester Watson,19
Louisa Sanchez,46
Olive Tucker,27
Lida Chavez,44
Elmer George,31
Myrtle James,20
Cecilia Cobb,59
Emma Wallace,55
Corey Lawson,47
Jeffrey Wells,53
Victoria Guzman,31
Estelle McCarthy,63
Christian Daniel,27
Dale Dixon,24
Adrian Edwards,36
Hulda Cox,24
Willie Reed,49
John Hall,44
Franklin Robertson,51
Sam Pope,52
Oscar Burns,21
Ola Frank,57
Theodore Stevenson,59
Logan Cooper,23
Lawrence Kim,23
Augusta Sanchez,26
Leila Holland,53
Laura Weaver,55
Dorothy Moore,31
Margaret Sandoval,44
Brent Fuller,44
Lela Fisher,57
Georgie Collins,65
Mollie Parks,36
Tom Owens,54
Jacob Keller,18
Alice Bass,63
Irene Knight,40
Bettie Waters,43
Elva Thornton,37
Ronnie Evans,27
Lucile Page,50
Cecelia Thornton,23
Julia Hanson,24
Clara Obrien,47
Norman Lawrence,29
Marie Jimenez,29
Dora Dawson,35
Christine Daniel,52
Bryan Dawson,22
Lee Thompson,22
Ralph Dawson,32
Stanley Bryant,25
Devin Greene,19
Myrtie Owens,19
Alan Carter,56
Ollie Jackson,60
Mitchell Price,62
Logan Abbott,62
Shawn Day,24
Jeremiah Stanley,53
Jeremy Dennis,63
Katie Carr,44
Sophia Hardy,27
Tommy Matthews,64
Terry Jackson,23
Maria Robertson,28
Inez Hughes,27
Joseph Butler,48
Ruth Floyd,46
Ray Jennings,41
Della Stewart,56
Eddie Ballard,52
Mollie Robbins,29
Lucas Parks,31
Adam Manning,61
Danny Owens,35
Chad Dixon,34
Carlos Phillips,32
Chester Hubbard,23
Christian Tucker,21
Eddie Duncan,28
Bertha Hicks,38
Florence Nguyen,52
Aiden Bryant,32
Jason Maxwell,46
Ryan Hopkins,53
Stanley Houston,56
Louisa Boone,58
Isabelle Chapman,51
Maud Cross,20
Mina White,34
Eddie Nelson,35
Peter Elliott,61
Allie Hammond,61
Manuel Blake,23
Sean Farmer,59
Nancy Lawson,50
Elsie Townsend,64
Joel Davis,30
Richard Ward,39
Betty Bush,48
Hulda Roy,25
Sophie Blair,23
Henry Soto,39
Kyle Haynes,49
Martin Soto,24
Oscar Brewer,20
Gregory Alexander,27
Jose Gross,49
Andrew Gilbert,64
Leon Daniel,35
Frances Hughes,49
Amelia Mason,38
Celia Munoz,18
Susie Hampton,19
Jared Edwards,29
Harold Thomas,27
Fannie Riley,44
Martin Terry,34
Albert Carroll,38
Mathilda Chavez,53
Lela Lawson,54
Harold Malone,38
Lettie Banks,62
Lillian Castillo,19
Brett Huff,26
Tommy Soto,57
Lillian Sullivan,57
Antonio Collier,24
Brent Sutton,51
Anne Anderson,19
Leonard Alvarado,31
Anthony Davis,30
Annie Berry,32
Matilda Flores,18
Birdie Rogers,30
Rosie Hoffman,21
Jacob Griffith,64
Jean Luna,30
Fannie Horton,36
Garrett Arnold,31
Susan Hernandez,52
Jerome Lawrence,39
Don Mendoza,29
Barbara Hernandez,46
Eugene Stevens,64
Bruce Harrington,36
Katharine Walker,34
Lura Hernandez,62
Mathilda Ross,35
Alan Chandler,19
Jesus Boone,44
May Abbott,27
Herman Gonzales,50
Ian Clayton,58
Gavin Watson,31
Oscar Summers,54
Lee Flowers,44
Adrian Mills,33
Carrie Hopkins,50
Randy Hines,45
Jayden Byrd,60
Aaron McLaughlin,39
Lena Roberts,42
Lelia Hale,22
Annie Owen,63
Janie Garcia,47
Douglas Newman,63
Shane Brady,50
Millie Collier,22
Paul Hicks,47
Kathryn Craig,52
Hulda Beck,26
Rosa Walton,41
Samuel Ballard,46
Fred Guerrero,63
Edgar McLaughlin,42
Gabriel Little,45
Polly Boone,31
Myra McGuire,56
Brent Cross,35
Jorge Clark,30
Mason Johnston,34
Earl Leonard,21
Clara Perkins,54
Chase Cruz,41
Amanda Perez,40
Paul Brown,64
Anne Vaughn,39
Katherine Francis,51
Amy Rice,57
Brandon Obrien,55
Mollie Duncan,20
Cecelia Garrett,60
Lura Cain,24
Richard Santos,44
Jon Curry,59
Louis Briggs,63
Jack Shelton,23
Austin Stokes,47
Dean Crawford,64
Rosalie Howard,19
Ronald Burton,21
Lloyd Pratt,23
Harold Graves,37
Nannie Thompson,39
Hilda Diaz,40
Lottie Newman,23
Vera Willis,20
Leah Beck,21
Callie Fletcher,28
Wayne Wong,21
Shawn Stokes,60
Lottie Cortez,22
Ann Moody,33
Lloyd Benson,64
Winifred Paul,31
Susie Stanley,32
Matilda Cummings,30
Alvin Williams,18
Bernard Lyons,52
Billy Curtis,28
Eddie Morgan,18
Ryan Newton,64
Jessie Goodman,24
Norman Ferguson,28
Bernice Herrera,37
Mark Patterson,53
Edgar Walker,56
Landon Harrison,35
Billy Hudson,40
Johanna Powell,59
Herbert Sanchez,46
Jared Christensen,40
Verna Hammond,63
Robert Lee,32
Birdie Crawford,40
Harriett Keller,59
Martha Soto,49
Kevin Henry,26
Christina Hall,44
Jorge Jennings,19
Jon Rodgers,31
Aaron Higgins,48
Lucy Hoffman,63
Mayme Schmidt,27
Loretta Powers,35
Philip Hill,26
Hunter Gregory,33
Ryan Stephens,20
Luke Tucker,32
Brian Olson,25
Arthur Schwartz,41
Jessie Mullins,65
Bobby Dawson,33
Shane Rhodes,60
Alexander Young,39
Eunice Todd,55
Jacob Colon,63
Stephen Byrd,63
Lida Wong,44
Nettie Love,37
Alejandro Morgan,56
Sophie Clarke,24
Brian Clarke,61
Ivan Gardner,30
Charlotte Ingram,60
Beulah Long,60
Sophie McLaughlin,25
Tillie Snyder,44
Susie Aguilar,45
Leroy Coleman,40
Cordelia Todd,54
Ronald McGee,20
Amanda Jackson,58
Alvin Greer,51
Iva Bailey,48
Samuel Manning,22
Della Keller,57
Danny Abbott,47
Georgia Evans,50
Jennie Walker,47
Austin Boone,35
Marcus Lynch,23
Mollie Fuller,27
Shane Harrison,57
Clarence Beck,58
Mabelle Guerrero,51
Ethan Spencer,46
Hester Diaz,42
Luella Cummings,37
Stella Harvey,45
Cornelia Bradley,62
Alejandro Castro,50
Katherine Vaughn,39
Lilly Gilbert,58
Lura Mendoza,22
Emily Johnston,39
Virginia Estrada,43
Allen Stokes,45
Elnora Carter,49
Rosa Dawson,65
Agnes Greer,36
Angel Vega,62
Lora Soto,49
Calvin Lyons,48
Sophia Kelly,21
Curtis Green,21
Lettie Guzman,58
Bernard Wong,21
Sally Myers,47
Lewis Valdez,57
Lillie Watson,60
Eleanor Hill,30
Gertrude Singleton,58
Floyd Daniel,21
Melvin Arnold,64
Jeremy Mann,37
Edna Hines,19
Mildred Benson,38
Joshua Medina,48
Sophia Waters,27
Chad Fields,28
Estelle Hernandez,58
Eunice Cummings,26
Abbie Ferguson,65
Myrtle Coleman,60
Aaron Lewis,18
Owen Gutierrez,52
Rosie Freeman,65
Iva Gibson,39
Oscar Reyes,45
William Carroll,24
Beatrice Wade,43
Bertie Jefferson,34
Mathilda Gross,47
Jared Henderson,41
Ricky Parks,62
Bill Alvarado,56
Ralph Lambert,39
Polly Jimenez,38
Lily Morales,25
Danny Bridges,20
Barry Hines,44
Matilda Steele,51
Augusta Turner,48
Devin Carson,48
Olive Tucker,32
Rodney Wilkins,55
Bessie Craig,39
Christina Sandoval,39
Elnora Sutton,54
Hannah Harrington,34
Dominic Mendez,39
Andrew Bennett,46
Eleanor Munoz,19
Mamie Soto,47
Louisa Jennings,41
Christian Hogan,24
Blake Brewer,47
William Collier,27
Scott Ward,43
Mamie Lawson,63
Eleanor Alvarado,55
Ada Mann,34
Sue Miles,24
Rosetta Horton,21
Ricardo Taylor,38
Gerald Foster,18
Frances Ingram,45
Travis Weaver,18
Dorothy Goodman,62
Hattie Scott,27
Clifford Ruiz,31
Bertie Montgomery,43
Miguel Higgins,64
Eric Armstrong,31
Marie Anderson,44
Derek Hardy,18
Lillian Roberts,59
Jerome Vega,41
Carolyn Walton,34
Clarence Ray,52
Ruth Gonzalez,49
Victoria Butler,45
Kyle Lambert,30
Lewis Lloyd,51
Cornelia Webster,21
Madge Lopez,49
Lily Mendoza,62
Mark Kim,36
Fred Blair,62
Mary Harris,27
Trevor Curry,18
Nannie Weber,55
Minerva Morris,19
Adam Kim,51
Ruby Hicks,40
Ora Andrews,56
Larry Austin,23
Max Hubbard,46
Eric Hall,21
Vernon Allen,28
Ina Roy,20
Dale Patrick,28
Richard Ruiz,60
Trevor Reese,32
Amy Baldwin,32
Elizabeth Adams,53
Madge Ramirez,29
Ruby Turner,40
Belle Bishop,26
Winnie Fowler,46
Edwin Cunningham,23
Herman Gardner,30
Lelia Brooks,36
Bettie Harris,61
Blake Burke,29
Frances Johnston,60
Charles Jennings,30
Harriet Collins,58
Cora Reyes,45
Dominic Kelly,30
Ronnie Wilkerson,52
Marcus Estrada,57
Jessie Robbins,47
Alex Gutierrez,29
Jean Anderson,25
Shawn Owen,46
Katharine Goodwin,39
Sam Richardson,50
Evan Webb,35
Edith Stevenson,46
Jim Young,25
Susan Gross,39
Theodore Santos,55
